id,supervisor_id,is_verified_rating,overall_score,score_academic,score_mentoring,score_wellbeing,score_stipend,score_resources,score_ethics,upvotes,downvotes,created_at,first_year_income
df774459-f384-41fe-97d3-8d291bc10229,dc5bc596-2260-4772-9df4-341eb45642c9,False,3.50,4.00,4.00,3.00,,3.00,,0,0,2026-03-24 05:43:59.236054+00:00,
1473777e-4398-416f-b663-2b8a4774d69b,f5a2e43a-6a14-4ca6-b7ab-ae1912272e00,False,3.75,4.00,4.00,4.00,,3.00,,0,0,2026-03-24 05:43:59.236054+00:00,
6e415a72-1242-4f97-8f01-07521dda584d,cedba51b-7b05-4373-aa64-9a22b14daf31,False,4.50,4.00,5.00,5.00,,4.00,,0,0,2026-03-24 05:43:59.236055+00:00,
6053a924-a245-451d-96e3-1ababbc93636,80bd1114-def1-45e5-9b68-316a57fb67f3,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.236055+00:00,
3e694600-29dd-41b2-92d7-e27dce0de021,bab20c32-c16e-42e4-83b0-52410f5916ce,False,2.50,1.00,3.00,3.00,,4.00,,0,0,2026-03-24 05:43:59.236056+00:00,
94a5ccbd-4cf3-41a4-9598-5d5b99c14446,b7079fb9-3f52-4fa9-9e71-bacae97d3c83,False,4.50,3.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.236056+00:00,
10026747-2e17-4d04-ad4b-a7974c6d1cbd,a4b206e0-0fed-44d4-b694-0bbb20974b37,False,1.63,1.00,3.00,2.00,,3.00,,0,0,2026-03-24 05:43:59.236057+00:00,
ff12ca4b-2b06-45eb-8332-28801bfccd23,1cb5525e-fde6-409a-992d-76c0fbbb3e7f,False,1.25,2.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.236057+00:00,
0339dafc-5874-4657-ba7b-52ea1bd23b88,a10ace69-d9a2-4bc3-bdc9-f2aa09cc0065,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.236058+00:00,
93237031-99ca-4d05-ad49-7e8d9bc728f4,9763bf5b-7f10-4cde-b0ce-e367e938845c,False,5.00,5.00,5.00,,,5.00,,0,0,2026-03-24 05:43:59.237276+00:00,
e291c309-2683-4e36-87d6-c9e217c93b73,6b8cc1ee-23eb-402f-bf7d-8500ef0d0e38,False,3.38,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.237814+00:00,
6081b99a-e4ee-4861-a888-7c5e84b70595,2109bb34-0392-4afc-b94b-a2d5720b754a,False,2.63,1.00,1.00,3.00,,5.00,,0,0,2026-03-24 05:43:59.237816+00:00,
d15c6c36-4aa3-498c-8507-aa14333b25ea,59cef046-4413-446c-8c5b-ac14929adfa5,False,2.50,4.00,1.00,3.00,,2.00,,0,0,2026-03-24 05:43:59.237817+00:00,
eb119111-d616-4183-9de5-a9a3dfcb20e3,54c91f0b-b6a2-4a95-8bc4-297dda023bae,False,4.25,5.00,3.00,4.00,,5.00,,0,0,2026-03-24 05:43:59.237817+00:00,
0e603235-dadf-4d28-875e-82292ff611a6,0ec79b43-e2ae-4bce-ba6b-5e1f61740b04,False,4.88,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.237818+00:00,
cc11b02a-aebd-46f0-a431-cabb53aed0d2,26ac2bc6-3e8c-490c-a1d6-9968e43a64af,False,2.00,2.00,3.00,1.00,,2.00,,0,0,2026-03-24 05:43:59.237818+00:00,
cf94fc62-1a98-4711-8a19-d833e68d39b5,bf206bef-5e15-44a2-a201-486e6c93adc1,False,1.00,1.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.237819+00:00,
6ce1560c-3f40-48fb-b3c2-8618e7491daf,7e8ca8bd-def9-4515-964c-2221a0502bda,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.237819+00:00,
118a85d6-eab0-4b83-ab83-1de24505946b,b1bfa012-591f-4ba3-846f-7e184ebde90f,False,2.25,4.00,3.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.237820+00:00,
1222595b-2352-465c-acbe-43bdeff157ed,44b203b0-a1ac-44c6-a5fb-851e5a43b0dc,False,1.00,1.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.237820+00:00,
b9bc560c-9710-4e73-9e3b-47e669fe0e65,1ebecb8e-b57f-4f8a-8361-003d7839c542,False,2.43,3.00,3.00,2.00,,4.00,,0,0,2026-03-24 05:43:59.237821+00:00,
c3c0c034-da8c-4eac-bf8c-e8e8968b35c7,6c7abbe0-1045-4661-8321-fa198a225281,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.237821+00:00,
90a6dd73-5d65-44c1-814c-4a6f3f3b1d1d,e71e9e68-fed0-46bc-b23c-a83d5f597f9d,False,4.00,3.00,5.00,4.00,,4.00,,0,0,2026-03-24 05:43:59.237822+00:00,
41e5372b-dd25-4a87-9fe6-5f52bf556d95,39cdf4a9-143a-4d45-bce9-3988c2b7f307,False,2.50,1.00,1.00,4.00,,5.00,,0,0,2026-03-24 05:43:59.237823+00:00,
377a354b-da1f-4c85-a533-e79c813d0a9b,54876860-c7b0-4241-92ff-fe960d347c72,False,4.92,5.00,5.00,5.00,,4.00,,0,0,2026-03-24 05:43:59.237823+00:00,
9640d519-6be7-40e2-9e7c-093d769c6db4,c4aa9b4e-aae6-4e57-bac7-20df443f08e7,False,2.75,1.00,4.00,3.00,,3.00,,0,0,2026-03-24 05:43:59.237824+00:00,
d396cceb-a0bc-445d-bfc5-7a868d346e30,3d63aac9-6c1c-4302-89d3-c4468f7fe658,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.237824+00:00,
9d97c01a-655c-4726-ba03-11c6ad2559ed,1d5c5cc6-70e7-4231-98ed-0a7da03e8611,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.237825+00:00,
14388bcb-58f2-490d-8fe8-890c58a05db7,65364ddd-3997-4fb7-a3ec-e479409010ff,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.237825+00:00,
a0496c95-7dbd-4281-9c18-04cbccf7c20c,73301a7c-7150-4ef8-96be-06f5d667b20a,False,1.25,1.00,2.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.237826+00:00,
0f7dcf0d-2165-4ff8-b318-8efcb52de735,17167d22-9f72-47cd-af1c-71229975c14d,False,1.00,1.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.237826+00:00,
272509b2-de14-4a60-a36c-1427c89f7469,a5ad5164-2633-43c5-bc21-20609f1d8597,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.237827+00:00,
e2f3a2ae-23d0-4b5d-b533-033d1545935c,a300a6ce-5b02-464d-97e2-95b9c0192f26,False,4.75,5.00,5.00,4.00,,5.00,,0,0,2026-03-24 05:43:59.237827+00:00,
f2fa9f72-5bc0-4497-9bba-91f317bdc397,c094b3af-82ad-4f95-91ba-e2274527c034,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.237827+00:00,
bdc2ee65-d256-446e-ad1b-b5288873a4b5,133d23c9-f731-4026-8b29-8182be951fed,False,1.00,,1.00,,,,,0,0,2026-03-24 05:43:59.240153+00:00,
a347d2a5-2b74-461d-97e7-665e124965dd,1531dac4-763e-4bbb-be50-b01ae0603608,False,3.25,3.00,4.00,3.00,,3.00,,0,0,2026-03-24 05:43:59.240835+00:00,
c821479f-7ed5-4555-b8f0-d924fcffa988,8d7c187f-6219-49af-abce-2b888b238fa8,False,4.88,5.00,5.00,,,5.00,,0,0,2026-03-24 05:43:59.241447+00:00,
df51934b-c0b5-418f-8592-32064cba4ded,addca625-d39e-4fad-bc81-f37472c20057,False,4.50,5.00,,,,4.00,,0,0,2026-03-24 05:43:59.242193+00:00,
a43a5d7c-fc53-42c3-a824-40d208888612,f4f5f37a-0749-48ee-83d8-785d94f6c597,False,4.25,5.00,4.00,4.00,,4.00,,0,0,2026-03-24 05:43:59.242843+00:00,
4550bb96-8352-41fd-9ab6-91765e69e53e,b76b921b-90ef-444b-8c51-0cba0e6f522a,False,2.58,1.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.242845+00:00,
2652a12e-9513-4e4f-b874-7211f4c7f18b,514a1d76-0695-41a8-9ca1-c34cceabf13c,False,1.70,3.00,1.00,3.00,,2.00,,0,0,2026-03-24 05:43:59.242845+00:00,
f15da789-41d8-43b9-9593-871a18d37045,37a6e639-3aa8-49b8-b034-6cca545035e2,False,1.88,1.00,1.00,1.00,,5.00,,0,0,2026-03-24 05:43:59.242846+00:00,
1cd954a4-159b-4aaa-b35a-951f77b7ccb7,0b777922-2549-4d42-8e54-0e48d5e7cfec,False,1.00,1.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.242846+00:00,
6016f604-2e99-40cf-906b-332714f66ac2,0bbc6a1f-bbba-4853-b346-8ad2c2d2ad55,False,1.13,1.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.242847+00:00,
e7a5721d-25a6-4246-987d-84c0a9f88452,849a38b5-fba9-4295-8e50-1138ff13bf6e,False,1.75,1.00,4.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.242847+00:00,
24ffd533-c327-4840-8f4f-f194ec360a83,de2f6a78-6c74-4bd3-941e-5a9a0dded343,False,1.00,1.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.242848+00:00,
3d4478a4-956e-4276-b1fb-365c5ae9f728,8d3b47af-1a3e-48ae-9bb7-12c1df07e7eb,False,1.50,3.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.242848+00:00,
d9a86781-6606-459a-a884-f576eb29b86c,958e1b47-cef0-452f-ae8f-d5ab69a1c47b,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.242849+00:00,
58451434-edb2-4da8-882b-3c7a29a591bb,d14ee886-ecbd-478a-a23a-dbaca6340f6a,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.242849+00:00,
72d8270b-52b1-467c-a15b-c4c000306360,55ec169e-c2eb-4dc5-b71e-06fd10dc0f7d,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.242850+00:00,
1618bfe4-2bcd-4b34-8b47-3b4457a7535f,15738671-a831-4162-ba6e-c8bbc6aa2d10,False,1.00,1.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.242850+00:00,
1e250728-22fe-4c7a-a24f-616a341e5c2f,7f7d0216-a934-4aa1-9bb1-18edd107a486,False,2.25,2.00,2.00,3.00,,2.00,,0,0,2026-03-24 05:43:59.242851+00:00,
d62bce7b-874d-4690-9e3f-c4249b932475,bcd6ac86-1af3-4976-a4fa-d2f2ad8da77c,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.242851+00:00,
fa6cb6ef-58a6-4ec4-95d4-5a9ed9416653,c776adfe-f406-47e6-87cb-861c0e84ca9c,False,4.50,4.00,5.00,4.00,,5.00,,0,0,2026-03-24 05:43:59.242852+00:00,
8e28610f-6ac8-4f4e-a1e6-e6a6d013e7a0,3176bc63-7b33-4b7c-a210-758c9dfd40d3,False,4.00,3.00,5.00,4.00,,4.00,,0,0,2026-03-24 05:43:59.242852+00:00,
59bdd267-3e94-4acb-b7d9-fa642d8ffd94,c8db837d-9f53-4d38-a426-5feb926ae02e,False,2.00,2.00,2.00,2.00,,2.00,,0,0,2026-03-24 05:43:59.242853+00:00,
22a93a98-533e-4dfa-a075-ec5bed9a9715,9a19149e-69c7-4b93-bd46-d55ebb72bbce,False,1.67,1.00,1.00,,,3.00,,0,0,2026-03-24 05:43:59.244414+00:00,
459ffcaf-77fe-499d-9084-ee8523010866,afc7642f-e2a8-4db3-b4d6-5acb19ce9446,False,5.00,5.00,5.00,,,5.00,,0,0,2026-03-24 05:43:59.244416+00:00,
98e30793-c75a-49be-be42-0a243c708521,31bd5ed3-8de6-43e8-9c64-a8467558832f,False,3.25,3.00,3.00,3.00,,4.00,,0,0,2026-03-24 05:43:59.245045+00:00,
8ba8b753-a9d3-42c0-8135-00931f7ccb11,744ac4df-252f-4e38-8cc3-83b1755ccf88,False,3.33,1.00,1.00,2.00,,1.00,,0,0,2026-03-24 05:43:59.245047+00:00,
51086391-ba84-4eb6-898d-aadf4d17c9b7,c2e5e1f9-16d4-4a3b-a1f0-468c681e9a07,False,4.50,4.00,5.00,4.00,,5.00,,0,0,2026-03-24 05:43:59.245047+00:00,
161d5780-4274-4f3e-bf17-e25d53bf7000,cb46fe8e-7569-4426-a170-a087036c0e1a,False,1.00,1.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.245048+00:00,
5595c7d7-a680-4ec7-8533-b6c1db2c8a57,a0b922ce-9df0-4c6c-9a4e-dca172dc87d5,False,1.50,2.00,1.00,1.00,,2.00,,0,0,2026-03-24 05:43:59.245049+00:00,
c7ac6598-f919-46f0-b623-0e2cccec32f9,ab26b0ba-2acd-4577-bd59-84a72394690a,False,5.00,,5.00,,,5.00,,0,0,2026-03-24 05:43:59.246075+00:00,
12ecd287-356d-47c5-923a-aca20ccb1aba,cef9ad39-f824-47a6-9849-629aaab72b62,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.246626+00:00,
d8da5199-2f22-40e1-9d84-85df8fc20efe,ad7ab9dc-d5e3-42a0-91df-64552c7fea72,False,3.67,,4.00,4.00,,3.00,,0,0,2026-03-24 05:43:59.247172+00:00,
2e99ad9d-8ed0-4a45-a034-9d47e548c10d,f5635518-48ef-411e-ae15-8e63a6f343b1,False,2.25,2.00,2.00,2.00,,3.00,,0,0,2026-03-24 05:43:59.247733+00:00,
40ec2421-5bbe-4253-8dbb-668c693e23b5,d199aec4-b5cb-489b-9a19-4ab03ddedaa2,False,1.22,1.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.247735+00:00,
7371bb39-995c-4cc7-9a9c-2e48c9a28962,35bbfb71-201c-493c-a8bc-41769506f739,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.247736+00:00,
26cf0d7a-02e6-4a49-bb23-444da806354c,1ff4cc77-255a-4d81-9a15-f8823a79cf4f,False,3.45,5.00,5.00,5.00,,4.00,,0,0,2026-03-24 05:43:59.247736+00:00,
6b1d5893-df7e-43b2-bd28-400c8d869f77,dd7a77ea-1a48-43a0-8b09-4ce0ae812a91,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.247737+00:00,
060be43b-9998-4da2-9c22-79ed87a2c5c2,92689d45-2831-42f7-9387-16e0887ed65a,False,4.50,4.00,5.00,5.00,,4.00,,0,0,2026-03-24 05:43:59.247738+00:00,
0278c74a-84d0-4422-8671-724ccff877fe,d2c27ab4-1569-4b78-9d33-90fc6ea2d612,False,1.94,1.00,1.00,1.00,,1.00,,0,0,2026-03-24 05:43:59.247738+00:00,
320ef9da-81c7-4229-9ce9-fb0bb2919c5d,cdb597f4-9b10-46da-bcfe-1c269b46a19f,False,3.80,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.247739+00:00,
e4913c7c-2f64-4e1c-a24b-86de2d84c4b9,e5a8616b-840d-40e2-94e8-1b7c9f12f4f8,False,4.38,5.00,3.00,4.00,,4.00,,0,0,2026-03-24 05:43:59.247739+00:00,
380dad0c-1adc-40ed-a3bd-54ccfc40cb24,5fd122f0-a267-4f24-b883-4e3dd7878333,False,4.75,5.00,5.00,5.00,,4.00,,0,0,2026-03-24 05:43:59.247740+00:00,
56aa9d99-f791-4c0f-854b-a5c2fc72c2fc,02704473-28f8-4479-8255-861b926f452c,False,4.74,4.00,4.00,,,3.00,,0,0,2026-03-24 05:43:59.249181+00:00,
96842a8a-2734-4681-8d27-c9010a63eb59,80d76fe6-e4a2-4d34-b455-8ad3a5dc24d6,False,5.00,5.00,5.00,,,5.00,,0,0,2026-03-24 05:43:59.249183+00:00,
8d3da14c-2305-479f-9bf2-059ff61a8642,be009003-9925-4b64-82f7-06b9b703de6f,False,4.75,5.00,,,,,,0,0,2026-03-24 05:43:59.250407+00:00,
f53047ae-603a-494d-a8a9-c97c7670dfa4,811b3573-3d20-4514-94c3-3587faadb7c5,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.250977+00:00,
b189edc0-bc86-494e-bc28-8220ef2abdf8,5fcb47a4-8865-4914-b9ca-933156da6034,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.250979+00:00,
a56b0520-938b-4663-be5e-2a7632bbeafd,25a2f1bc-6a61-4aae-a819-68ae1aa0895b,False,4.75,5.00,5.00,5.00,,4.00,,0,0,2026-03-24 05:43:59.250980+00:00,
0ffc6609-4aed-44c6-bb6e-f657b6668ae5,3fa18fb8-ecf0-4f16-8ca3-66b4130c034a,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.250980+00:00,
2315af5e-bb30-4fd8-afa5-69c9063a2114,70f041ba-0d5c-4ec3-8b22-7d041f1acca5,False,4.83,5.00,5.00,5.00,,4.00,,0,0,2026-03-24 05:43:59.250981+00:00,
a0972074-1144-4f95-af7c-f997b3673434,edd6fe0a-6def-4e85-94d6-d1155bc6ada7,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.250982+00:00,
d11e91ee-2c8a-4a1f-b536-23b290b61eb9,99ba9296-c136-46f8-8871-b28de4279a2c,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.250983+00:00,
e0d95f85-987b-4b39-ac68-dde67aa3bc7d,3fa611fa-9080-4742-a731-ffacb44b3282,False,4.00,4.00,1.00,2.00,,5.00,,0,0,2026-03-24 05:43:59.250983+00:00,
cfe3412e-dd36-44f6-9c7a-ed41918df186,6f4fe2f9-1f9d-4e76-9a2a-5266c8e9e952,False,5.00,5.00,5.00,,,5.00,,0,0,2026-03-24 05:43:59.252184+00:00,
1339264f-c330-4052-afe5-fcd6784d286c,4016fa06-91bf-4513-8ed1-c3579ca34ea4,False,4.25,5.00,5.00,4.00,,3.00,,0,0,2026-03-24 05:43:59.252738+00:00,
9447f96b-6b5e-4374-a7ad-3e7e0c839021,ffbf44d8-ec9f-48a3-b2dc-fc8a668cce39,False,5.00,5.00,5.00,5.00,,,,0,0,2026-03-24 05:43:59.253453+00:00,
40c7313c-1fd3-4bd8-8eae-2a0a114b4f54,1bf5fb58-208f-4fae-9489-9b741b9b0519,False,4.38,4.00,3.00,4.00,,5.00,,0,0,2026-03-24 05:43:59.253967+00:00,
86aa8a65-717f-4b0e-8bf0-c956698346c4,a62dfe72-c14d-4970-be65-95b06d96ffc5,False,4.50,4.00,5.00,4.00,,5.00,,0,0,2026-03-24 05:43:59.253969+00:00,
fbff50b4-e8e2-40cd-b0bb-1b46ab31c515,274d8965-3a4e-4ecc-acdc-1610b74af3b7,False,5.00,5.00,5.00,5.00,,5.00,,0,0,2026-03-24 05:43:59.253970+00:00,
b3edd207-13af-4672-84c7-60c42cd0453f,8e42e5e3-2d81-404d-b641-7f36fbf75ab5,False,3.33,4.00,,3.00,,3.00,,0,0,2026-03-24 05:43:59.254904+00:00,
